Scientific_Name_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Category,Fora.WaterBelow,Fora.WaterSurface,Fora.Ground,Fora.Understory,Fora.MidHigh,Fora.Canopy,Fora.Aerial,Beha.Pelagic,Beha.Nocturnal,Morph.BodyMass,Phen.MigrantStatus,Morph.BeakLength,Morph.BeakWidth,Morph.BeakDepth,Morph.TarsusLength,Morph.WingLength,Morph.TailLength,Morph.HandWingIndex,Ecol.Habitat,Ecol.TrophicNiche,Ecol.PrimaryLifestyle
Coloeus_monedula,30,10,0,0,0,0,30,0,30,0,Omnivore,0,0,50,20,20,10,0,0,0,246,Partial migrant,35.2,11.2,13.3,43.3,231.1,122.4,39.1,Human Modified,Omnivore,Terrestrial
Columba_livia,10,0,0,0,0,0,0,0,60,30,PlantSeed,0,0,80,20,0,0,0,0,0,354.2,Resident,23.2,4.3,5,26.5,219.6,105.5,45.1,Human Modified,Granivore,Terrestrial
Columba_oenas,20,0,0,0,0,0,0,0,40,40,PlantSeed,0,0,80,20,0,0,0,0,0,290.8,Resident,23.2,6.8,7.8,26.4,214.8,119.4,42.5,Woodland,Omnivore,Terrestrial
Columba_palumbus,0,0,0,0,0,0,30,0,30,40,PlantSeed,0,0,80,20,0,0,0,0,0,490,Resident,27.8,8,7.8,31.5,246.4,153.2,41.2,Woodland,Omnivore,Terrestrial
Coracias_garrulus,90,0,0,0,10,0,0,0,0,0,Invertebrate,0,0,80,10,0,0,10,0,0,146,Full migrant,40.2,9.8,12.9,23.7,190.8,122.6,37.5,Woodland,Invertivore,Insessorial
Corvus_corax,10,20,10,10,0,20,10,0,10,10,VertFishScav,0,0,80,0,10,0,10,0,0,928,Partial migrant,77,21.9,27.9,67.1,419.7,228.7,39.8,Forest,Omnivore,Terrestrial
Corvus_frugilegus,30,10,10,0,0,10,0,0,40,0,Omnivore,0,0,90,10,0,0,0,0,0,452.1,Resident,59.5,14.8,18.3,55.7,312.3,166.8,41,Grassland,Omnivore,Terrestrial
Coturnix_coturnix,20,0,0,0,0,0,0,0,80,0,PlantSeed,0,0,100,0,0,0,0,0,0,96.3,Full migrant,15.6,5.5,5.2,24.5,106.2,38.3,41,Human Modified,Granivore,Terrestrial
Crex_crex,30,20,10,0,0,0,0,0,20,20,Omnivore,0,0,70,30,0,0,0,0,0,154.9,Full migrant,24.2,3.5,6.4,40.5,137,51.2,34.1,Grassland,Omnivore,Terrestrial
Cuculus_canorus,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,20,20,40,20,0,0,0,111.4,Full migrant,26,7.6,7.6,21.4,192,158.1,43.9,Forest,Invertivore,Insessorial
Curruca_balearica,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,100,0,0,0,0,0,9.8,Resident,12.3,2.4,2.4,18.7,50.8,58.8,16.7,Shrubland,Invertivore,Insessorial
Curruca_cantillans,60,0,0,0,0,0,20,10,10,0,Invertebrate,0,0,10,20,60,10,0,0,0,9.6,Full migrant,12.4,2.4,3.3,17.8,61,52.3,22.3,Shrubland,Invertivore,Insessorial
Curruca_communis,60,0,0,0,0,0,30,0,10,0,Invertebrate,0,0,0,100,0,0,0,0,0,15.1,Full migrant,13.6,2.8,3.3,21.3,72.6,63.3,24.2,Shrubland,Invertivore,Insessorial
Curruca_conspicillata,70,0,0,0,0,0,20,10,0,0,Invertebrate,0,0,50,50,0,0,0,0,0,9,Full migrant,11.7,2.4,2.4,17.9,55.4,51.1,19.4,Shrubland,Invertivore,Insessorial
Curruca_curruca,60,0,0,0,0,0,20,10,10,0,Invertebrate,0,0,0,33,33,33,0,0,0,11.4,Full migrant,12.4,2.8,3.1,19.1,65.1,56.9,22,Shrubland,Invertivore,Insessorial
Curruca_melanocephala,50,0,0,0,0,0,40,10,0,0,Omnivore,0,0,20,60,20,0,0,0,0,11.7,Partial migrant,13.7,2.9,3,20.4,58.7,61.3,18,Shrubland,Invertivore,Insessorial
Curruca_nisoria,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,0,80,0,20,0,0,0,22.5,Full migrant,16.4,3.7,4.3,24,88.3,71.7,27.2,Shrubland,Invertivore,Insessorial
Curruca_ruppeli,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,10,90,0,0,0,0,0,12.8,Full migrant,14.6,2.8,3.1,21,69,63.6,23.1,Shrubland,Invertivore,Insessorial
Curruca_subalpina,60,0,0,0,0,0,20,10,10,0,Invertebrate,0,0,10,20,60,10,0,0,0,9.6,Full migrant,12.4,2.4,3.3,17.8,61,52.3,22.3,Shrubland,Invertivore,Insessorial
Cyanistes_caeruleus,50,0,0,0,0,0,20,10,20,0,Omnivore,0,0,10,30,30,30,0,0,0,11.1,Resident,9.7,3.2,4.2,15.2,65.6,51.4,21,Forest,Invertivore,Insessorial
Cyanopica_cooki,80,0,0,0,0,0,10,0,10,0,Invertebrate,0,0,0,20,60,20,0,0,0,70.4,Resident,27.4,7.7,8.3,34.6,132.1,179.1,16.9,Woodland,Omnivore,Generalist
Cygnus_olor,10,0,10,0,0,0,0,0,0,80,PlantSeed,0,100,0,0,0,0,0,0,0,10682,Full migrant,96.1,31,26.4,96.1,581.5,198.1,42.1,Wetland,Herbivore aquatic,Aquatic
Delichon_urbicum,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,33,33,33,0,0,14.5,Full migrant,10.7,3.7,2.9,11.3,108.1,61.3,54.3,Human Modified,Invertivore,Aerial
Dendrocopos_leucotos,70,0,0,0,0,0,20,0,10,0,Invertebrate,0,0,0,20,60,10,10,0,0,116.8,Resident,35.8,9.1,8.5,24.7,142.8,91.6,29.9,Forest,Invertivore,Insessorial
Dendrocopos_major,50,10,0,0,0,10,0,0,30,0,Omnivore,0,0,0,20,40,30,10,0,0,74.9,Resident,27.9,9.3,8.7,23.9,136.2,88,29.3,Woodland,Omnivore,Insessorial
